Id,StatesTotal,StatesCreated,QueriesTotal,CorrectClassifications
26500,370,0,0,7987
26600,370,0,0,7986
26700,370,0,0,7983
26800,370,0,0,7979
26900,370,0,0,7997
27000,370,0,0,7985
27100,370,0,0,7983
27200,370,0,0,7987
27300,370,0,0,7983
27400,370,0,0,7986
27500,370,0,1,7986
27600,370,0,0,7985
27700,370,0,1,7992
27800,370,0,0,7983
27900,370,0,1,7990
28000,370,0,1,7982
28100,370,0,0,7986
28200,370,0,0,7982
28300,370,0,1,7984
28400,370,0,1,7979
28500,370,0,1,7973
28600,370,0,1,7973
28700,370,0,1,7986
28800,370,0,1,7985
28900,370,0,1,7986
29000,370,0,1,7984
29100,370,0,0,7976
29200,370,0,0,7979
29300,370,0,1,7970
29400,370,0,1,7990
29500,370,0,1,7981
29600,370,0,0,7978
29700,370,0,1,7977
29800,370,0,1,7982
29900,370,0,0,7981
30000,370,0,1,7981
30100,370,0,1,7993
30200,370,0,1,7985
30300,370,0,1,7984
30400,370,0,1,7990
30500,370,0,1,7986
30600,370,0,0,7995
30700,370,0,0,7986
30800,370,0,0,7984
30900,370,0,0,7989
31000,370,0,0,7983
31100,370,0,0,7987
31200,370,0,0,7981
31300,370,0,0,7976
31400,370,0,0,7983
31500,370,0,0,7969
31600,370,0,0,7985
31700,370,0,0,7987
31800,370,0,0,7983
31900,370,0,0,7989
32000,370,0,0,7986
32100,370,0,0,7987
32200,370,0,0,7978
32300,370,0,0,7990
32400,370,0,0,7983
32500,370,0,1,7982
32600,370,0,1,7980
32700,370,0,0,7977
32800,370,0,0,7986
32900,370,0,1,7986
33000,370,0,0,7975
33100,370,0,0,7987
33200,370,0,1,7980
33300,370,0,1,7983
33400,370,0,0,7979
33500,370,0,0,7976
33600,370,0,1,7983
33700,370,0,0,7987
33800,370,0,1,7982
33900,370,0,0,7984
34000,370,0,1,7983
34100,370,0,0,7985
34200,370,0,0,7989
34300,370,0,0,7985
34400,370,0,0,7982
34500,370,0,0,7986
34600,370,0,0,7991
34700,370,0,0,7985
34800,370,0,0,7987
34900,370,0,0,7984
35000,370,0,0,7967
35100,370,0,0,7979
35200,370,0,0,7978
35300,370,0,0,7982
35400,370,0,0,7985
35500,370,0,0,7990
35600,370,0,1,7987
35700,370,0,0,7987
35800,370,0,1,7989
35900,370,0,0,7991
36000,370,0,1,7988
36100,370,0,1,7984
36200,370,0,0,7983
36300,370,0,0,7979
36400,370,0,1,7988
36500,370,0,1,7985
36600,370,0,1,7985
36700,370,0,1,7989
36800,370,0,1,7984
36900,370,0,1,7986
37000,370,0,1,7984
37100,370,0,1,7984
37200,370,0,0,7979
37300,370,0,0,7993
37400,370,0,1,7994
37500,370,0,1,7990
37600,370,0,1,7981
37700,370,0,0,7987
37800,370,0,1,7991
37900,370,0,1,7986
38000,370,0,0,7978
38100,370,0,1,7983
38200,370,0,1,7995
38300,370,0,1,7981
38400,370,0,1,7979
38500,370,0,1,7985
38600,370,0,1,7983
38700,370,0,1,7988
38800,370,0,1,7971
38900,370,0,1,7981
39000,370,0,0,7985
39100,370,0,1,7981
39200,370,0,1,7987
39300,370,0,1,7988
39400,370,0,0,7986
39500,370,0,1,7984
39600,370,0,1,7987
39700,370,0,0,7985
39800,370,0,1,7981
39900,370,0,0,7979
40000,370,0,1,7989
40100,370,0,0,7987
40200,370,0,1,7978
40300,370,0,1,7984
40400,370,0,0,7976
40500,370,0,0,7978
